zone,-0.85,0.58,0.00,0.28,light_red
zone,0.85,0.58,0.00,0.28,light_orange
zone,-0.25,0.28,0.25,-0.35,light_yellow
zone,-0.25,-0.35,0.25,-0.90,light_green
zone,-0.85,-0.90,-0.22,-0.32,light_pink
zone,0.85,-0.90,0.22,-0.32,cream
zone,-0.85,-0.32,-0.22,0.28,light_purple
zone,0.85,-0.32,0.22,0.28,light_brown
zone,-0.85,1.00,0.00,0.58,light_blue
zone,0.85,1.00,0.00,0.58,pink
wall,-0.85,-0.90,-0.80,1.00
wall,-0.80,1.00,0.85,0.95
wall,0.85,-0.90,0.80,1.00
wall,-0.85,-0.90,-0.20,-0.85
wall,0.85,-0.90,0.20,-0.85
wall,-0.25,-0.85,-0.20,-0.65
wall,0.25,-0.85,0.20,-0.65
wall,-0.25,-0.35,-0.20,-0.10
wall,0.25,-0.35,0.20,-0.10
wall,-0.80,-0.35,-0.65,-0.30
wall,0.80,-0.35,0.65,-0.30
wall,-0.40,-0.35,-0.20,-0.30
wall,0.40,-0.35,0.20,-0.30
wall,-0.85,0.25,-0.55,0.30
wall,0.85,0.25,0.55,0.30
wall,-0.35,0.25,-0.20,0.30
wall,0.35,0.25,0.20,0.30
wall,-0.20,0.30,-0.25,0.10
wall,0.20,0.30,0.25,0.10
wall,-0.85,0.55,-0.60,0.60
wall,0.85,0.55,0.60,0.60
wall,-0.35,0.55,0.35,0.60
wall,-0.03,1.00,0.03,0.82
wall,-0.03,0.55,0.03,0.68
