-0.25,-0.90,-0.20,-0.60
0.25,-0.90,0.20,-0.60
-0.25,-0.45,-0.20,0.10
0.25,-0.45,0.20,0.10
-0.80,0.10,-0.60,0.15
-0.45,0.10,-0.20,0.15
0.80,0.10,0.60,0.15
0.45,0.10,0.20,0.15
-0.45,0.50,0.45,0.45
-0.80,0.50,-0.60,0.45
0.80,0.50,0.60,0.45
-0.80,-0.30,-0.75,0.45
0.80,-0.30,0.75,0.45
-0.80,-0.30,-0.20,-0.35
-0.80,-0.90,-0.20,-0.85
-0.80,-0.90,-0.75,-0.30
-0.20,-0.90,-0.25,-0.30
0.20,-0.30,0.80,-0.35
0.20,-0.90,0.80,-0.85
0.20,-0.90,0.25,-0.30
0.80,-0.90,0.75,-0.30
-0.80,0.90,0.00,0.85
-0.80,0.50,0.00,0.55
-0.80,0.50,-0.75,0.90
0.00,0.50,-0.05,0.90
0.00,0.90,0.80,0.85
0.00,0.50,0.80,0.55
0.00,0.50,0.05,0.90
0.80,0.50,0.75,0.90
