-0.85,-0.90,-0.80,1.00
-0.80,1.00,0.85,0.95
0.85,-0.90,0.80,1.00
-0.85,-0.90,-0.20,-0.85
0.85,-0.90,0.20,-0.85
-0.25,-0.85,-0.20,-0.65
0.25,-0.85,0.20,-0.65
-0.25,-0.35,-0.20,-0.10
0.25,-0.35,0.20,-0.10
-0.80,-0.35,-0.65,-0.30
0.80,-0.35,0.65,-0.30
-0.40,-0.35,-0.20,-0.30
0.40,-0.35,0.20,-0.30
-0.85,0.25,-0.55,0.30
0.85,0.25,0.55,0.30
-0.35,0.25,-0.20,0.30
0.35,0.25,0.20,0.30
-0.20,0.30,-0.25,0.10
0.20,0.30,0.25,0.10
-0.85,0.55,-0.60,0.60
0.85,0.55,0.60,0.60
-0.35,0.55,0.35,0.60
-0.03,1.00,0.03,0.82
-0.03,0.55,0.03,0.68
