-0.95,-1.40,-0.20,-1.35
0.20,-1.40,0.95,-1.35
0.95,-1.35,0.90,-1.05
-0.95,-1.35,-0.90,-1.05
0.95,-1.00,0.30,-1.05
-0.95,-1.00,-0.30,-1.05
0.35,-1.00,0.30,-0.55
-0.35,-1.00,-0.30,-0.55
-0.30,-0.55,-1.25,-0.50
0.30,-0.55,1.25,-0.50
-1.25,-0.50,-1.20,0.60
1.25,-0.50,1.20,0.60
-1.25,0.60,-0.70,0.55
1.25,0.60,0.70,0.55
-0.75,0.55,-0.70,0.10
0.75,0.55,0.70,0.10
-0.75,0.15,-0.85,0.10
0.75,0.15,0.85,0.10
-0.80,0.10,-0.85,-0.20
0.80,0.10,0.85,-0.20
-0.85,-0.20,-0.20,-0.15
0.85,-0.20,0.20,-0.15
-0.20,-0.15,-0.25,0.75
0.20,-0.15,0.25,0.75
-0.20,0.75,-0.90,0.80
0.20,0.75,0.90,0.80
-0.90,0.80,-0.85,1.30
0.90,0.80,0.85,1.30
-0.50,1.30,-0.45,1.05
0.50,1.30,0.45,1.05
-0.90,1.30,0.90,1.35
