zone,-0.95,-1.40,0.95,-1.05,light_red
zone,-0.30,-1.05,0.30,-0.20,light_red
zone,-0.20,-0.20,0.20,0.55,light_red
zone,-0.30,-0.20,-1.20,-0.55,light_red
zone,0.30,-0.20,1.20,-0.55,light_red
zone,1.20,-0.55,0.80,0.10,light_red
zone,-1.20,-0.55,-0.80,0.10,light_red
zone,-0.20,-1.40,0.20,-1.20,cream
zone,-0.20,0.55,0.20,0.80,light_orange
zone,-1.20,0.10,-0.70,0.60,pink
zone,1.20,0.10,0.70,0.60,light_purple
zone,-0.95,-1.40,-0.38,-1.05,light_pink
zone,0.95,-1.40,0.38,-1.05,light_brown
zone,-0.90,1.30,0.90,0.80,light_yellow
zone,-0.90,1.30,-0.45,1.05,light_green
zone,0.90,1.30,0.45,1.05,light_blue
wall,-0.95,-1.40,-0.20,-1.35
wall,0.20,-1.40,0.95,-1.35
wall,0.95,-1.35,0.90,-1.05
wall,-0.95,-1.35,-0.90,-1.05
wall,0.95,-1.00,0.30,-1.05
wall,-0.95,-1.00,-0.30,-1.05
wall,0.35,-1.00,0.30,-0.55
wall,-0.35,-1.00,-0.30,-0.55
wall,-0.30,-0.55,-1.25,-0.50
wall,0.30,-0.55,1.25,-0.50
wall,-1.25,-0.50,-1.20,0.60
wall,1.25,-0.50,1.20,0.60
wall,-1.25,0.60,-0.70,0.55
wall,1.25,0.60,0.70,0.55
wall,-0.75,0.55,-0.70,0.10
wall,0.75,0.55,0.70,0.10
wall,-0.75,0.15,-0.85,0.10
wall,0.75,0.15,0.85,0.10
wall,-0.80,0.10,-0.85,-0.20
wall,0.80,0.10,0.85,-0.20
wall,-0.85,-0.20,-0.20,-0.15
wall,0.85,-0.20,0.20,-0.15
wall,-0.20,-0.15,-0.25,0.75
wall,0.20,-0.15,0.25,0.75
wall,-0.20,0.75,-0.90,0.80
wall,0.20,0.75,0.90,0.80
wall,-0.90,0.80,-0.85,1.30
wall,0.90,0.80,0.85,1.30
wall,-0.50,1.30,-0.45,1.05
wall,0.50,1.30,0.45,1.05
wall,-0.90,1.30,0.90,1.35
