zone,-1.40,1.40,-0.65,0.35,pink
zone,-1.40,-1.40,-0.65,-0.35,light_purple
zone,-0.65,1.40,0.40,0.25,light_brown
zone,-0.65,-1.40,0.40,-0.25,cream
zone,0.90,-0.30,1.40,0.30,light_red
zone,0.90,-0.30,-0.30,0.30,light_orange
zone,-1.05,-0.90,-0.30,0.85,light_yellow
zone,-1.40,-0.35,-1.05,0.35,light_pink
zone,0.40,-1.40,1.40,-0.25,light_blue
zone,0.40,1.40,1.40,0.25,light_green
wall,-1.40,-1.40,-1.35,1.35
wall,-1.40,1.40,1.35,1.35
wall,-1.40,-1.40,1.35,-1.35
wall,1.40,1.40,1.35,0.25
wall,1.40,-1.40,1.35,-0.25
wall,-0.30,0.30,0.90,0.25
wall,-0.30,-0.30,0.90,-0.25
wall,-1.05,0.90,-0.65,0.85
wall,-1.05,-0.90,-0.65,-0.85
wall,-1.05,0.90,-1.00,0.35
wall,-1.05,-0.90,-1.00,-0.35
